Folder (conf_str or setname),Repository Name
Arduboy,Arduboy_MiSTer
Chess,Chess_MiSTer
Chip8,Chip8_MiSTer
EpochGalaxyII,EpochGalaxy2_MiSTer
FLAPPY,FlappyBird_MiSTer
GameOfLife,Life_MiSTer
SlugCross,SlugCross_MiSTer
TomyScramble,TomyScramble_MiSTer
